algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
283,137,293,121,1722,795,1262,155,
552,191,428,135,5142,1715,2852,230,
951,255,522,153,11437,2985,5092,305,
1611,331,645,158,21482,4605,7982,380,
2674,394,720,220,36152,6575,11522,455,
3967,497,879,208,56322,8895,15712,530,
5535,621,1016,225,82867,11565,20552,605,
7607,693,1123,267,116662,14585,26042,680,
9909,815,1268,271,158582,17955,32182,755,
12144,941,1415,287,209502,21675,38972,830,
15514,1431,1565,319,270297,25745,46412,905,
19239,1308,1602,312,341842,30165,54502,980,
23752,1451,1761,400,425012,34935,63242,1055,
28883,1817,1891,363,520682,40055,72632,1130,
34703,1908,2037,398,629727,45525,82672,1205,
41270,2055,2101,401,753022,51345,93362,1280,
48916,2615,2222,406,891442,57515,104702,1355,
57012,2493,2287,474,1045862,64035,116692,1430,
66004,2900,2320,479,1217157,70905,129332,1505,
