Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sat Jul 29 10:06:03 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,113,380,0,143,2,,,[]
3,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,115,380,0,218,2,,,[]
25,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi?1lnk=2v40%20%20,200,,38,396,0,218,2,,,[?1lnk=2v40  ]
7,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,179,380,0,218,2,,,[]
13,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,182,380,0,218,2,,,[]
19,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi?&&&,200,,178,384,0,218,2,,,[?&&&]
6,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,190,380,0,218,2,,,[]
24,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi?nsd1=815q%20%20,200,,184,396,0,218,2,,,[?nsd1=815q  ]
18,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi?&,200,,193,382,0,218,2,,,[?&]
10,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,195,380,0,218,2,,,[]
15,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,199,380,0,218,2,,,[]
21,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi?key,200,,196,384,0,218,2,,,[?key]
2,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,203,380,0,218,2,,,[]
23,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi?key=value&key=value,200,,194,400,0,218,2,,,[?key=value&key=value]
1,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,208,380,0,218,2,,,[]
12,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,205,380,0,218,2,,,[]
8,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,207,380,0,218,2,,,[]
20,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi??&?&?&,200,,202,387,0,218,2,,,[??&?&?&]
22,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi?key=value,200,,199,390,0,218,2,,,[?key=value]
11,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,206,380,0,218,2,,,[]
16,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,203,380,0,218,2,,,[?]
14,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,205,380,0,218,2,,,[]
17,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi??,200,,203,382,0,218,2,,,[??]
26,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi?0454=5242%20%20,200,,55,396,0,218,2,,,[?0454=5242  ]
5,Fuzzed,Sat Jul 29 10:29:07 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/getapi,200,,208,380,0,218,2,,,[]
