Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sat Jul 29 10:06:03 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/postapi,200,,133,381,0,143,2,,,[]
1,Fuzzed,Sat Jul 29 10:38:49 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/postapi,200,,111,400,4,213,2,,,[null]
20,Fuzzed,Sat Jul 29 10:38:49 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/postapi,200,,154,401,56,213,2,,,"[{""key"":false,""list"":[{""key2"":""value2"",""key3"":""value3""}]}]"
2,Fuzzed,Sat Jul 29 10:38:49 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/postapi,200,,159,400,4,213,2,,,[true]
5,Fuzzed,Sat Jul 29 10:38:49 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/postapi,200,,161,400,3,213,2,,,[-99]
22,Fuzzed,Sat Jul 29 10:38:49 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/postapi,200,,160,401,54,213,2,,,"[{""key"":-99,""list"":[{""key2"":""value2"",""key3"":""value3""}]}]"
14,Fuzzed,Sat Jul 29 10:38:49 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/postapi,200,,161,401,73,213,2,,,"[{""key"":""value"",""list"":[{""key2"":""value2"",""key3"":""value3""}],""x"":""a string""}]"
9,Fuzzed,Sat Jul 29 10:38:49 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/postapi,200,,181,401,67,213,2,,,"[{""key"":""value"",""list"":[{""key2"":""value2"",""key3"":""value3""}],""x"":null}]"
13,Fuzzed,Sat Jul 29 10:38:49 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/postapi,200,,180,401,66,213,2,,,"[{""key"":""value"",""list"":[{""key2"":""value2"",""key3"":""value3""}],""x"":-99}]"
3,Fuzzed,Sat Jul 29 10:38:49 CDT 2023,GET,https://als0184.au-csse-cpsc4970.com/api/postapi,200,,182,400,5,213,2,,,[false]
